ALLAPOT|AR|EGESZ_SZOBAK|EMELET|FELSZOBAK|FUTES|KERT_TERULET|KERULET|KILATAS|KOMFORT|LIFT|PARKOLAS|SAVE_DATE|SZINTEK|TERULET|TETOTER|URL|UTCA|VAROSRESZ
felújítandó|16.900000|1.000000|3|1.000000|gáz (konvektor)||11|udvari|összkomfortos|van|utcan|2013.04.09||55.000000|-1|http://ingatlan.com/lagymanyos/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+bartok+bela+ut/7075055?sid=0&|Bartók Béla út|Lágymányos
felújítandó|15.300000|1.000000|1|1.000000|elektromos||11|utcai|komfortos|van|utcan|2013.04.09||60.000000|-1|http://ingatlan.com/szentimrevaros/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+bartok+bela+ut/7015134?sid=0&|Bartók Béla út|Szentimreváros
felújítandó|17.900000|2.000000|0|0.000000|gáz (héra)||11|udvari|összkomfortos|nincs|garazs|2013.04.09||54.000000|-1|http://ingatlan.com/gellerthegy-xi/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+menesi+ut/7028773?sid=0&|Ménesi út|Gellérthegy
felújított|24.950000|3.000000|0|0.000000|elektromos||11|utcai|összkomfortos|van|utcan|2013.04.09||130.000000|-1|http://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+bartok+bela+ut/6257382?sid=0&|Bartók Béla út 96|
jó állapotú|21.900000|2.000000|2|1.000000|gáz (cirko)||11|panorámás|összkomfortos|van|utcan|2013.04.09||83.000000|-1|http://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+bartok+bela+ut/6839169?sid=0&|Bartók Béla út|
felújított|19.900000|2.000000|1|0.000000|gáz (cirko)||6|udvari|összkomfortos|nincs|utcan|2013.04.09|2|60.000000|-1|http://ingatlan.com/terezvaros-nagykoruton-belul/elado+lakas/tegla-epitesu-lakas/budapest+6+kerulet+paulay+ede+utca/7178603?sid=0&|Paulay Ede utca|Terézváros - Nagykörúton belül
jó állapotú|14.900000|2.000000|2|1.000000|||11|utcai|összkomfortos|van|utcan|2013.04.09|5|66.000000|-1|http://ingatlan.com/muegyetem-kornyeke/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+fehervari+ut/6357660?sid=0&||
közepes állapotú|7.400000|1.000000|0|0.000000|gáz (konvektor)||11||összkomfortos|nincs|utcan|2013.04.09|4|28.000000|-1|http://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+kanizsai+utca/7094055?sid=0&|Kanizsai utca|
felújított|17.300000|2.000000|5|0.000000|||11|panorámás|összkomfortos|van|utcan|2013.04.09|6|56.000000|-1|http://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet/7047685?sid=0&||
|15.300000|1.000000|5|1.000000|házközponti egyedi méréssel||13||összkomfortos|van|garazs|2013.04.09||36.000000|-1|http://ingatlan.com/angyalfold/elado+lakas/tegla-epitesu-lakas/budapest+13+kerulet+szent+laszlo+ut/6435930?sid=0&|Szent László út 50|Angyalföld
közepes állapotú|9.000000|2.000000|5|1.000000|házközponti egyedi méréssel||22||összkomfortos|van|utcan|2013.04.09|10|59.000000|-1|http://ingatlan.com/xxii-ker/elado+lakas/panel-lakas/budapest+22+kerulet+leanyka+utca/6612220?sid=0&|Leányka utca|
közepes állapotú|25.490000|3.000000|3|1.000000|házközponti egyedi méréssel||2||összkomfortos|van|utcan|2013.04.09|6|112.000000|-1|http://ingatlan.com/ii-ker/elado+lakas/tegla-epitesu-lakas/budapest+2+kerulet/7077939?sid=0&||
közepes állapotú|22.900000|3.000000|3|0.000000|gáz (konvektor)||2|panorámás||nincs|utcan|2013.04.09||90.000000|-1|http://ingatlan.com/ii-ker/elado+lakas/tegla-epitesu-lakas/budapest+2+kerulet+bem+rakpart/6373502?sid=0&|Bem rakpart 56|
|69.900000|4.000000|0|0.000000|gáz (cirko)||2||duplakomfortos|van|garazs|2013.04.09||112.000000|-1|http://ingatlan.com/ii-ker/elado+lakas/tegla-epitesu-lakas/budapest+2+kerulet+felvinci+ut/6124860?sid=0&|Felvinci út|
|21.330000|1.000000|3|2.000000|gáz (cirko)||13||összkomfortos|van|utcan|2013.04.09||60.000000|-1|http://ingatlan.com/angyalfold/elado+lakas/tegla-epitesu-lakas/budapest+13+kerulet+jasz+utca/7125557?sid=0&|Jász utca 70|Angyalföld
|21.230000|1.000000|2|2.000000|gáz (cirko)||13||összkomfortos|van|utcan|2013.04.09||58.000000|-1|http://ingatlan.com/angyalfold/elado+lakas/tegla-epitesu-lakas/budapest+13+kerulet+jasz+utca/7125529?sid=0&|Jász utca 70|Angyalföld
|25.560000|1.000000|4|2.000000|gáz (cirko)||13|panorámás|összkomfortos|van|utcan|2013.04.09||68.000000|-1|http://ingatlan.com/angyalfold/elado+lakas/tegla-epitesu-lakas/budapest+13+kerulet+jasz+utca/7125562?sid=0&|Jász utca 70|Angyalföld
|25.620000|1.000000|1|2.000000|gáz (cirko)||13|utcai|összkomfortos|van|utcan|2013.04.09||67.000000|-1|http://ingatlan.com/angyalfold/elado+lakas/tegla-epitesu-lakas/budapest+13+kerulet+jasz+utca/7125523?sid=0&|Jász utca 70|Angyalföld
|75.300000|4.000000|0|0.000000|||2|||van|garazs|2013.04.09|4|98.000000|-1|http://ingatlan.com/ii-ker/elado+lakas/tegla-epitesu-lakas/budapest+2+kerulet+nyul+utca/6816317?sid=0&|Nyúl utca 15|
felújított|23.500000|2.000000|0|1.000000|gáz (cirko)||2||összkomfortos|nincs|kulteri|2013.04.09||68.000000|-1|http://ingatlan.com/kurucles/elado+lakas/tegla-epitesu-lakas/budapest+2+kerulet+tarogato+ut/20030020?sid=0&|Tárogató út|Kurucles
|76.000000|4.000000|0|0.000000|házközponti egyedi méréssel||2||duplakomfortos|van|garazs|2013.04.09|3|121.000000|-1|http://ingatlan.com/ii-ker/elado+lakas/tegla-epitesu-lakas/budapest+2+kerulet/6691220?sid=0&||
jó állapotú|13.990000|1.000000|3|1.000000|gáz (konvektor)||11|panorámás|összkomfortos|nincs|utcan|2013.04.09||45.000000|-1|http://ingatlan.com/szentimrevaros/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+elek+utca/20009316?sid=0&|Elek utca|Szentimreváros
|19.900000|1.000000|0|1.000000|gáz (cirko)||2||összkomfortos|nincs|kulteri|2013.04.09||39.000000|-1|http://ingatlan.com/szephalom-ii-a/elado+lakas/tegla-epitesu-lakas/budapest+2+kerulet+bujdoso+koz/7190544?sid=0&|Bujdosó köz 3|Széphalom - II/A
felújított|21.500000|1.000000|6|4.000000|gáz (cirko)||2||luxus|van|utcan|2013.04.09||70.000000|-1|http://ingatlan.com/ii-ker/elado+lakas/tegla-epitesu-lakas/budapest+2+kerulet+varsanyi+udvar/5748999?sid=0&|Varsányi udvar|
|18.600000|1.000000|0|1.000000|gáz (cirko)||13||összkomfortos|van|utcan|2013.04.09||52.000000|-1|http://ingatlan.com/angyalfold/elado+lakas/tegla-epitesu-lakas/budapest+13+kerulet+jasz+utca/7125520?sid=0&|Jász utca 70|Angyalföld
|17.420000|1.000000|3|1.000000|gáz (cirko)||13||összkomfortos|van|utcan|2013.04.09||47.000000|-1|http://ingatlan.com/angyalfold/elado+lakas/tegla-epitesu-lakas/budapest+13+kerulet+jasz+utca/7125549?sid=0&|Jász utca 70|Angyalföld
felújított|23.500000|3.000000|0|0.000000|gáz (cirko)||2|udvari|összkomfortos|nincs|kulteri|2013.04.09|2|70.000000|-1|http://ingatlan.com/kurucles/elado+lakas/tegla-epitesu-lakas/budapest+2+kerulet+tarogato+ut/6073087?sid=0&|Tárogató út|Kurucles
|16.590000|1.000000|6|1.000000|házközponti egyedi méréssel||13||komfortos|van|garazs|2013.04.09||43.000000|-1|http://ingatlan.com/angyalfold/elado+lakas/tegla-epitesu-lakas/budapest+13+kerulet/7163824?sid=0&||Angyalföld
|16.550000|1.000000|3|1.000000|gáz (cirko)||13||összkomfortos|van|utcan|2013.04.09||45.000000|-1|http://ingatlan.com/angyalfold/elado+lakas/tegla-epitesu-lakas/budapest+13+kerulet+jasz+utca/7125542?sid=0&|Jász utca 70|Angyalföld
|20.300000|2.000000|1|0.000000|házközponti egyedi méréssel||11|udvari|összkomfortos|van|kulteri|2013.04.09||43.000000|-1|http://ingatlan.com/kelenfold/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet/7087591?sid=0&||Kelenföld
felújított|18.900000|2.000000|1|0.000000|gáz (cirko)||13||luxus|nincs|nincs|2013.04.09|3|62.000000|-1|http://ingatlan.com/angyalfold-kertvaros/elado+lakas/tegla-epitesu-lakas/budapest+13+kerulet+volegeny+utca/20024265?sid=0&||
jó állapotú|23.500000|2.000000|0|1.000000|gáz (cirko)||2||összkomfortos|nincs|garazs|2013.04.09||67.000000|-1|http://ingatlan.com/ii-ker/elado+lakas/tegla-epitesu-lakas/budapest+2+kerulet+bimbo+ut/6804062?sid=0&|Bimbó út|
felújított|23.900000|3.000000|1|0.000000|gáz (cirko)||11||összkomfortos|nincs|garazs|2013.04.09|2|76.000000|-1|http://ingatlan.com/sasad/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+bakony+utca/7152903?sid=0&|Bakony utca|Sasad
|17.000000|2.000000|5|0.000000|házközponti egyedi méréssel||6||összkomfortos|van|kulteri|2013.04.09|6|53.000000|-1|http://ingatlan.com/terezvaros-nagykoruton-kivul/elado+lakas/tegla-epitesu-lakas/budapest+6+kerulet+aradi+utca/6737032?sid=0&|Aradi utca|Terézváros - Nagykörúton kívül
|17.500000|2.000000|5|0.000000|házközponti egyedi méréssel||13||összkomfortos|van|utcan|2013.04.09||52.000000|-1|http://ingatlan.com/angyalfold/elado+lakas/tegla-epitesu-lakas/budapest+13+kerulet+petnehazy+utca/6969489?sid=0&|Petneházy utca|Angyalföld
|20.600000|1.000000|0|1.000000|házközponti egyedi méréssel||11||összkomfortos|van|garazs|2013.04.09||45.000000|-1|http://ingatlan.com/sashegy-xii/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+beregszasz+ut/6435323?sid=0&|Beregszász út 4|Sashegy
jó állapotú|17.900000|2.000000|4|0.000000|||2|panorámás|összkomfortos|van|utcan|2013.04.09||60.000000|-1|http://ingatlan.com/ii-ker/elado+lakas/tegla-epitesu-lakas/budapest+2+kerulet+zsigmond+ter/20031535?sid=0&|Zsigmond tér|
közepes állapotú|32.000000|3.000000|2|0.000000|gáz (konvektor)||5|udvari|összkomfortos|van|utcan|2013.04.09|3|84.000000|-1|http://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+vaci+utca/20030999?sid=0&|Váci utca|
|69.150000|3.000000|5|1.000000|házközponti egyedi méréssel||11|panorámás|duplakomfortos|van|garazs|2013.04.09||126.000000|-1|http://ingatlan.com/sashegy-xii/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+beregszasz+ut/6435440?sid=0&|Beregszász út 4|Sashegy
|20.850000|2.000000|0|0.000000|házközponti egyedi méréssel||13|utcai|összkomfortos|van|utcan|2013.04.09||55.000000|-1|http://ingatlan.com/vizafogo/elado+lakas/tegla-epitesu-lakas/budapest+13+kerulet/7107816?sid=0&||Vizafogó
felújított|11.990000|1.000000|0|0.000000|||1|utcai|összkomfortos|van|utcan|2013.04.09||42.000000|-1|http://ingatlan.com/i-ker/elado+lakas/tegla-epitesu-lakas/budapest+1+kerulet+ag+utca/7197817?sid=0&|Ág utca|
jó állapotú|10.590000|1.000000|7|2.000000|házközponti egyedi méréssel||11||összkomfortos|van|utcan|2013.04.09|10|55.000000|-1|http://ingatlan.com/ormezo/elado+lakas/panel-lakas/budapest+11+kerulet+igmandi+utca/7205101?sid=0&||
felújított|29.900000|2.000000|1|1.000000|gáz (cirko)||5|udvari|összkomfortos|van|utcan|2013.04.09|4|103.000000|-1|http://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+oktober+6+utca/7078794?sid=0&|Október 6. utca|
|15.990000|2.000000|5|0.000000|házközponti egyedi méréssel||13||összkomfortos|van|garazs|2013.04.09||45.000000|-1|http://ingatlan.com/angyalfold/elado+lakas/tegla-epitesu-lakas/budapest+13+kerulet+lehel+utca/7163804?sid=0&|Lehel utca|Angyalföld
felújítandó|17.200000|2.000000|0|0.000000|gáz (cirko)||11||összkomfortos|nincs|nincs|2013.04.09||47.000000|-1|http://ingatlan.com/szentimrevaros/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet/7120756?sid=0&||Szentimreváros
jó állapotú|14.900000|2.000000|1|0.000000|||11||összkomfortos|nincs|utcan|2013.04.09|4|50.000000|-1|http://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+abel+jeno+utca/7073604?sid=0&||
|23.900000|3.000000|3|0.000000|házközponti egyedi méréssel||9||összkomfortos|van|utcan|2013.04.09||70.000000|-1|http://ingatlan.com/rehabilitacios-terulet-ix/elado+lakas/tegla-epitesu-lakas/budapest+9+kerulet+thaly+kalman+utca/7164411?sid=0&|Thaly Kálmán utca|Rehabilitációs terület
|21.500000|1.000000|4|2.000000|házközponti egyedi méréssel||13||összkomfortos|van|nincs|2013.04.09|4|66.000000|-1|http://ingatlan.com/angyalfold-kertvaros/elado+lakas/tegla-epitesu-lakas/budapest+13+kerulet+jasz+utca/7194504?sid=0&|Jász utca|Angyalföld-Kertváros
|23.900000|2.000000|0|1.000000|gáz (cirko)||14||összkomfortos|nincs|garazs|2013.04.09||83.000000|-1|http://ingatlan.com/alsorakos/elado+lakas/tegla-epitesu-lakas/budapest+14+kerulet/6289367?sid=0&||Alsórákos
|50.500000|2.000000|0|2.000000|gáz (cirko)||11|panorámás|összkomfortos|nincs|garazs|2013.04.09|2|116.000000|-1|http://ingatlan.com/sasad/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+bodajk+utca/7130164?sid=0&|Bodajk utca|Sasad
|49.500000|3.000000|2|2.000000|gáz (cirko)||11|panorámás|duplakomfortos|nincs|garazs|2013.04.09|4|112.000000|-1|http://ingatlan.com/sasad/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+dayka+gabor+utca/6961751?sid=0&|Dayka Gábor utca|Sasad
felújított|11.900000|2.000000|2|0.000000|gáz (cirko)||7||összkomfortos|nincs|utcan|2013.04.09|3|42.000000|-1|http://ingatlan.com/vii-ker/elado+lakas/tegla-epitesu-lakas/budapest+7+kerulet+szovetseg+utca/7029376?sid=0&|Szövetség utca|
|37.900000|3.000000|3|1.000000|házközponti egyedi méréssel||11||összkomfortos|van|utcan|2013.04.09|7|98.000000|-1|http://ingatlan.com/nadorkert/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+nadorliget+utca/7165093?sid=0&|Nádorliget utca|Nádorkert
felújított|21.990000|2.000000|7|1.000000|||11|panorámás|összkomfortos|van|utcan|2013.04.09||63.000000|-1|http://ingatlan.com/muegyetem-kornyeke/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+irinyi+jozsef+utca/7179858?sid=0&||
közepes állapotú|12.800000|2.000000|0|0.000000|gáz (héra)||14|utcai|összkomfortos|nincs|utcan|2013.04.09||70.000000|-1|http://ingatlan.com/xiv-ker/elado+lakas/tegla-epitesu-lakas/budapest+14+kerulet+kover+lajos+utca/6240380?sid=0&|Kövér Lajos utca|
|17.000000|2.000000|5|0.000000|házközponti egyedi méréssel||6||összkomfortos|van|kulteri|2013.04.09||54.000000|-1|http://ingatlan.com/terezvaros-nagykoruton-belul/elado+lakas/tegla-epitesu-lakas/budapest+6+kerulet+aradi+utca/6292822?sid=0&|Aradi utca|Terézváros - Nagykörúton belül
|10.900000|1.000000|3|1.000000|házközponti egyedi méréssel||14|||van|nincs|2013.04.09||39.000000|-1|http://ingatlan.com/xiv-ker/elado+lakas/tegla-epitesu-lakas/budapest+14+kerulet+ov+utca/5856653?sid=0&|Öv utca|
jó állapotú|30.000000|2.000000|3|1.000000|gáz (cirko)||5|utcai|összkomfortos|van|nincs|2013.04.09||107.000000|-1|http://ingatlan.com/belvaros-v/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+kossuth+lajos+utca/6292732?sid=0&|Kossuth Lajos utca|Belváros
közepes állapotú|32.900000|3.000000|4|0.000000|||5||összkomfortos|van|utcan|2013.04.09|6|96.000000|-1|http://ingatlan.com/lipotvaros/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+honved+ter/6774661?sid=0&|Honvéd tér|Lipótváros
jó állapotú|17.700000|3.000000|0|0.000000|gáz (héra)||11|panorámás|összkomfortos|nincs|utcan|2013.04.09||120.000000|-1|http://ingatlan.com/kelenfold/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+bartok+bela+ut/20028335?sid=0&|Bartók Béla út|Kelenföld
felújított|14.500000|2.000000|3|0.000000|||14|utcai|összkomfortos|nincs|utcan|2013.04.09|4|54.000000|-1|http://ingatlan.com/zuglo/elado+lakas/tegla-epitesu-lakas/budapest+14+kerulet+bolgarkertesz+utca/20033108?sid=0&|Bolgárkertész utca|Zugló
|22.950000|2.000000|1|0.000000|házközponti egyedi méréssel||13|utcai||van|nincs|2013.04.09|6|60.000000|-1|http://ingatlan.com/xiii-ker/elado+lakas/tegla-epitesu-lakas/budapest+13+kerulet+parkany+utca/6773819?sid=0&|Párkány utca 4|
felújított|21.900000|3.000000|1|0.000000|gáz (cirko)||7|udvari|összkomfortos|van|utcan|2013.04.09|5|89.000000|-1|http://ingatlan.com/erzsebetvaros-nagykoruton-kivul/elado+lakas/tegla-epitesu-lakas/budapest+7+kerulet+istvan+utca/7181824?sid=0&|István utca|Erzsébetváros - Nagykörúton kívül
|19.400000|1.000000|7|1.000000|házközponti egyedi méréssel||11|panorámás|összkomfortos|van|utcan|2013.04.09|8|48.000000|-1|http://ingatlan.com/kelenfold/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+kondorosi+ut/7202613?sid=0&|Kondorosi út|Kelenföld
felújítandó|10.900000|2.000000|2|0.000000|gáz (héra)||14||összkomfortos|nincs|utcan|2013.04.09||50.000000|-1|http://ingatlan.com/zuglo/elado+lakas/tegla-epitesu-lakas/budapest+14+kerulet+mogyorodi+ut/7202612?sid=0&|Mogyoródi út|Zugló
jó állapotú|9.900000|1.000000|5|0.000000|||11|panorámás|összkomfortos|van|utcan|2013.04.09||27.000000|-1|http://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+baranyai+ter/20024164?sid=0&|Baranyai tér|
jó állapotú|23.900000|2.000000|0|1.000000|gáz (cirko)||11||összkomfortos|van|utcan|2013.04.09|5|74.000000|-1|http://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet/7151503?sid=0&||
|20.990000|2.000000|3|0.000000|házközponti egyedi méréssel||11|utcai|összkomfortos|van|garazs|2013.04.09|7|51.000000|-1|http://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+nadorliget+utca/7066212?sid=0&|Nádorliget utca|
jó állapotú|14.900000|2.000000|1|0.000000|gáz (cirko)||14||összkomfortos|nincs|kulteri|2013.04.09||56.000000|-1|http://ingatlan.com/zuglo/elado+lakas/tegla-epitesu-lakas/budapest+14+kerulet+furedi+utca/20032164?sid=0&|Füredi utca|Zugló
|20.430000|1.000000|4|1.000000|házközponti egyedi méréssel||13||összkomfortos|van|garazs|2013.04.09||52.000000|-1|http://ingatlan.com/vizafogo/elado+lakas/tegla-epitesu-lakas/budapest+13+kerulet/7108273?sid=0&||Vizafogó
|145.000000|3.000000|2|0.000000|házközponti egyedi méréssel||13|panorámás|luxus|van|garazs|2013.04.09|4|200.000000|-1|http://ingatlan.com/xiii-ker/elado+lakas/tegla-epitesu-lakas/budapest+13+kerulet+revesz+utca/20016865?sid=0&|Révész utca 29|
|21.900000|2.000000|3|0.000000|házközponti egyedi méréssel||11||összkomfortos|van|garazs|2013.04.09||54.000000|-1|http://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+nadorliget+utca/7120600?sid=0&|Nádorliget utca|
|20.990000|1.000000|3|1.000000|házközponti egyedi méréssel||11|utcai|összkomfortos|van|garazs|2013.04.09||51.000000|-1|http://ingatlan.com/nadorkert/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+nadorliget+utca/6821598?sid=0&|Nádorliget utca|Nádorkert
felújított|23.400000|3.000000|1|0.000000|gáz (cirko)||11||összkomfortos|nincs|garazs|2013.04.09||76.000000|-1|http://ingatlan.com/sasad/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+bakony+utca/20016747?sid=0&|Bakony utca|Sasad
felújított|42.900000|1.000000|2|3.000000|gáz (cirko)||2|panorámás|összkomfortos|van|garazs|2013.04.09||90.000000|-1|http://ingatlan.com/ii-ker/elado+lakas/tegla-epitesu-lakas/budapest+2+kerulet+zsindely+utca/20030849?sid=0&|Zsindely utca|
jó állapotú|16.800000|1.000000|5|0.000000|gáz (konvektor)||5|panorámás|összkomfortos|van|utcan|2013.04.09||43.000000|-1|http://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+kecskemeti+utca/20028643?sid=0&|Kecskeméti utca|
|34.800000|2.000000|2|1.000000|házközponti egyedi méréssel||11||duplakomfortos|van|garazs|2013.04.09||77.000000|-1|http://ingatlan.com/sasad/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+beregszasz+ut/7051456?sid=0&|Beregszász út 4|Sasad
felújított|7.700000|1.000000|7|0.000000|||14|panorámás|összkomfortos|van|utcan|2013.04.09|10|30.000000|-1|http://ingatlan.com/ors-vezer-teri-ltp/elado+lakas/panel-lakas/budapest+14+kerulet/7052333?sid=0&||Örs vezér téri lakótelep
jó állapotú|24.500000|2.000000|2|1.000000|gáz (cirko)||11|utcai|összkomfortos|nincs|utcan|2013.04.09||77.000000|-1|http://ingatlan.com/feneketlento/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+kokorcsin+utca/7040782?sid=0&|Kökörcsin utca|Feneketlen-tó
|18.900000|2.000000|1|2.000000|gáz (cirko)||13|udvari|duplakomfortos|nincs|garazs|2013.04.09||86.000000|-1|http://ingatlan.com/angyalfold/elado+lakas/tegla-epitesu-lakas/budapest+13+kerulet+gomb+utca/6396720?sid=0&|Gömb utca|Angyalföld
jó állapotú|10.990000|1.000000|9|2.000000|||11||összkomfortos|van|utcan|2013.04.09||53.000000|-1|http://ingatlan.com/gazdagreti-ltp/elado+lakas/panel-lakas/budapest+11+kerulet+regos+koz/7188683?sid=0&|Regõs köz|Gazdagréti lakótelep
felújított|12.400000|2.000000|0|0.000000|gáz (konvektor)||11|udvari|összkomfortos|nincs|utcan|2013.04.09||42.000000|-1|http://ingatlan.com/lagymanyos/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+hamzsabegi+ut/7193305?sid=0&|Hamzsabégi út|Lágymányos
|23.600000|2.000000|0|1.000000|házközponti egyedi méréssel||13|utcai|összkomfortos|van|garazs|2013.04.09||68.000000|-1|http://ingatlan.com/vizafogo/elado+lakas/tegla-epitesu-lakas/budapest+13+kerulet/6583106?sid=0&||Vizafogó
felújított|9.500000|1.000000|0|0.000000|||11||összkomfortos|van|utcan|2013.04.09||36.000000|-1|http://ingatlan.com/lagymanyos/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+hamzsabegi+ut/6992083?sid=0&|Hamzsabégi út|Lágymányos
